"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005165",1187,57.33,0.32,0.27,39.1,2.05,1.73,29.44,31.88,0.23,0.57
"E01005166",1925,51.75,0.31,0.24,36.26,1.67,1.24,25.39,49.77,0.27,0.49
"E01005167",3088,45.48,0.33,0.21,35.99,1.19,0.84,28.72,40.67,0.34,0.53
"E01005168",18515,15.12,0.08,0.07,1.52,0.14,0.86,15.77,37.88,0.08,0.13
"E01005169",24092,10.09,0.05,0.05,1.83,0.33,-0.01,19.21,26.37,0.06,0.08
"E01005170",24807,9.52,0.06,0.06,2.85,0.19,-0.72,16.2,26.84,0.06,0.12
"E01005171",12151,22.86,0.09,0.08,3.36,0.31,0.59,37.15,56.24,0.1,0.17
"E01005172",19822,13.81,0.07,0.08,0.19,0.56,0.47,17.24,20.42,0.03,0.18
"E01005173",23643,10.47,0.05,0.04,0.83,0.26,0.61,21.23,20.01,0.05,0.15
"E01005174",27859,7.11,0.04,0.05,0.11,-0.32,0.34,9.3,25.21,0.02,0.08
"E01005175",15463,18.51,0.11,0.1,1.79,0.89,0.57,9.94,27.43,0.06,0.25
"E01005176",19574,14.06,0.06,0.06,11.08,0.53,0.2,8.55,43.47,0.05,0.19
"E01005177",20339,13.33,0.07,0.06,0.44,0.48,0.7,8.97,35.21,0.06,0.17
"E01005178",4388,40.43,0.27,0.19,34.27,1.61,0.77,20.05,32.66,0.37,0.43
"E01005179",8341,29.78,0.17,0.13,7.66,1.25,0.47,25.94,50.45,0.17,0.38
"E01005180",1632,53.76,0.33,0.26,39.08,1.77,1.56,25.17,24.2,0.39,0.44
"E01005181",9119,28.11,0.2,0.13,10.32,1.31,0.1,27.07,27.1,0.21,0.38
"E01005182",3869,42.17,0.33,0.2,35.02,1.48,0.47,28.95,18.32,0.41,0.54
"E01005183",1444,55.13,0.41,0.28,42.3,1.91,0.39,25.68,20.4,0.52,0.53
"E01005184",11031,24.67,0.13,0.07,7.41,0.91,1.2,25.15,43.21,0.23,0.35
"E01005185",10854,25.01,0.02,0.02,16.32,0.42,1.43,33.68,70.47,0.18,0.38
"E01005186",2565,48.22,0.3,0.22,37.15,1.85,1.14,29.93,24.26,0.36,0.36
"E01005187",1904,51.88,0.35,0.24,42.55,1.59,0.91,23.13,46.49,0.38,0.27
"E01005188",5143,37.97,0.24,0.18,29.07,1.11,1.18,18.12,42.18,0.31,0.18
"E01005189",487,65.98,0.41,0.33,63.76,2.45,0.92,25.4,21.68,0.44,0.45
"E01005190",2693,47.53,0.3,0.23,52.54,1.34,0.89,22.31,42.35,0.35,0.24
"E01005191",2036,51.12,0.32,0.25,45.26,1.44,1.21,22.24,41.48,0.36,0.42
"E01005192",3935,41.93,0.23,0.17,32.11,1.03,1.82,22.39,51.18,0.33,0.22
"E01005193",4675,39.44,0.22,0.16,35.23,1.3,1.11,19.07,53.68,0.27,0.28
"E01005194",2706,47.45,0.3,0.18,47.41,1.31,1.3,27.05,49.23,0.37,0.48
"E01005195",852,60.92,0.39,0.26,66.78,1.85,1.17,25.99,28.37,0.49,0.37
"E01005196",1902,51.89,0.36,0.23,44.55,1.72,0.7,39.5,17.94,0.4,0.54
"E01005197",1110,58.06,0.34,0.28,40.54,1.72,1.94,22.77,40.76,0.34,0.42
"E01005198",546,64.82,0.43,0.28,53.3,1.95,1.84,26.02,21.05,0.49,0.43
"E01005199",4725,39.28,0.24,0.16,38.69,1.25,0.58,22.66,55.06,0.3,0.31
"E01005200",3883,42.11,0.25,0.19,23.95,1.39,1.68,26.53,29.59,0.24,0.37
"E01005201",1872,52.04,0.35,0.22,38.13,1.47,1.42,27.47,40.79,0.42,0.37
"E01005202",39,79.01,0.51,0.37,74.52,2.38,1.58,30.66,28.1,0.58,0.55
"E01005203",43,78.88,0.49,0.4,60.31,2.52,2.21,33.7,21.94,0.56,0.56
"E01005205",194,72.19,0.42,0.32,69.77,2.51,1.84,26.72,27.69,0.52,0.51
"E01005206",3109,45.35,0.25,0.2,33.85,1.88,1.17,19.63,48.63,0.36,0.3
